,1,2,3,4,5,6,7,8,9,10,11,12
MER-SH,1331.788267363627,991.7405522650059,1022.5131691715573,1805.1262364057388,1631.023894630403,2157.817054569867,2251.457873417631,2826.40391769621,2100.314184422355,1604.25812050312,844.1121139507015,1202.3681990372752
MER-t2m,999.0366183942491,2602.419095485267,1663.3731643162569,1236.548931761848,1352.6721672926778,2029.2484288669207,2974.931382167263,2102.5154902984514,2478.3014660352455,1429.1797652287783,935.013992859268,1388.3370040969598
MER-TCC,1416.0135032610372,965.7966850325053,1817.602093445896,2243.0135620103542,1347.0828110586951,11666.452108877325,2262.044731046915,2799.78225656183,2425.129376904155,2164.24458757126,1040.2088565873532,2165.6522553178147
MER-TCWV,1323.651209388995,1305.4600475202851,1257.1136470409774,1353.6593902422626,1090.8034086608961,3258.1926236291247,2759.6490422289125,2950.5568383271416,2794.0364192115894,4309.077193476629,4367.221345661329,978.4731143264438
MER-tp,1430.2570801618258,6116.0851360841825,1863.6831237368829,3315.808000977709,1936.5739691242086,1689.1401656995984,3031.242235397084,3072.3582292233864,3163.843618325167,3505.4452387791325,833.9501055318622,10790.450903245497
MER-UW,1700.9043976772311,2775.8346238996655,1477.780916642057,2032.6216760378843,1405.742344194473,1377.926027156348,5889.456501650529,2384.003392625165,2017.2937967477217,7246.124630833807,1734.4715815261304,1538.1584007388583
MER-VW,1791.4000647647235,1246.1675674005896,1322.403044843951,1122.6034535251197,1244.2466410347547,1177.6151458266265,2469.64912846854,3283.196749545127,2827.008943879768,2007.1772825460998,1131.7476064292757,1542.7197259547268
MSSHF-RH,1250.464055176199,1513.0504124847414,1207.7778733455275,972.4180314708719,1221.9253769665675,1989.6887320358048,2882.286145102234,2005.814722169132,4750.129796707751,7062.79544899538,941.9805968168998,1370.9079115199363
MSSHF-SD,1239.0337512141252,1602.5965232823767,9106.112997737688,2204.3434837395416,1700.0866923239769,2397.380179435903,1601.992591494996,1693.6980171260361,1400.2517284913235,1433.0621941832696,8897.374033542577,1668.5001633281518
MSSHF-SH,3897.742825677427,1237.234685941978,1408.4830984819766,1256.0892175809108,2109.8586806919416,1030.6824386508843,2135.974141983793,3033.6806934141487,1815.1407064649025,1717.7568895436752,12520.719959901335,1134.6742978618881
MSSHF-t2m,1452.6081547861863,1931.0933012781654,2864.313417190493,1457.5726890875828,2418.6819801478728,3008.694845214166,2905.8499307430834,12041.239893223963,3155.345579783841,3493.9955977684417,1023.9523498787464,1161.0342865430416
MSSHF-TCC,1942.9002169306634,1314.3064003778948,2293.2822388768122,1048.8331776690509,8585.030498990685,986.6896682733901,2746.8686768991156,3150.845188218095,2574.8670396147404,2058.1001784848704,991.1046520871571,2571.9179214188543
MSSHF-TCWV,2760.67340378416,22461.506759701926,2042.6191910433315,1213.614416967532,1201.4745765731516,1126.8881142758253,2241.0989360547455,3308.4106502759864,2248.3208562310647,1659.6767745227746,938.1896704013267,875.9802401201405
MSSHF-tp,2145.650010015585,1281.5708768627378,1222.2576486376877,1047.7012650812494,2691.7114878804796,1324.4648775138196,1664.0415149436744,2534.428299285061,2410.7123876065734,2242.684579804009,2296.6583446096665,2435.432255111401
MSSHF-UW,1748.1932995722552,982.2775040745936,888.726370620015,1443.382211869261,1941.2780392958573,1648.7311564735228,2127.072097873862,2566.951187603915,1806.9385366445804,2074.4874939268548,1543.3218783951095,1739.9060801419598
MSSHF-VW,2113.0046396175817,1538.6783874201942,1269.9416529024707,1340.7210886820328,1371.0157695031671,2237.635383486958,7988.043240313514,2588.3079098942785,2170.0592994529798,1972.2250270201084,937.0746825473705,1770.9328727889751
RH-SD,50662.6187458976,1249.293883656516,3010.55175336077,1208.8185685253354,18338.686597474716,58966.424358168006,1707.2334897938479,1479.7811954752563,1501.6049019800516,1261.2993406641574,15728.191894883903,1457.41336281306
RH-SH,1305.5985265127154,967.4579508285244,2707.490232839643,2091.6773599135777,1310.0531048268037,1511.5678828437292,4253.30328073074,1789.5987204916291,1763.6465035300275,2146.4401720073347,1078.0371835281248,1264.974225581031
RH-t2m,2251.389389489289,1838.4529711636078,1652.0783157562978,1394.4395467409868,787.0430927376735,1233.65301145136,4352.894734363336,4146.736553827241,2255.9212258235298,2461.4895734085694,1110.3510590080064,1161.2685959853784
RH-TCC,1568.8282109228933,1448.004137457007,1726.8615661745414,2382.167646884312,1425.0822295447276,1323.2196823815161,2622.6497859170718,2664.8899461384385,2747.8345167812004,1796.2991081685857,1403.8303769684808,3228.0855555373446
RH-TCWV,2302.6971157709395,1225.7527468940384,1478.0967132916523,1251.794642262955,1223.6585629731987,3345.2478833750465,3544.50278137336,2078.1141124114024,2599.7386853350445,2832.3271214096085,3761.896811270388,771.3221472382362
RH-tp,1113.5004603734312,921.3675899666544,4470.444185306189,1499.4042255140432,10517.530023957645,2103.804718948103,4011.238855693596,3639.0185797228555,1641.858296324302,1613.9849309439155,978.9161937156842,1905.8972794744247
RH-UW,1304.2747594035154,1977.9463897278301,996.5198674717159,1037.1200750080009,15867.673539325913,1425.446237691723,4277.924329427324,8586.877955231515,1846.0318183046952,1428.6303665331766,1406.7486622764798,1665.5588913200668
