,dataset,last_val_loss
1979,RH-SH-TCC-TCWV-tp-UW-VW-MSLP,575.9743041992188
6830,MER-RH-SH-t2m-TCC-TCWV-UW-VW-MSLP-Z500,576.014404296875
4713,MER-MSSHF-RH-SH-TCC-TCWV-UW-VW-Z500,576.217529296875
690,MSSHF-t2m-TCC-TCWV-tp-UW-VW-MSLP-SST-Z500,576.3547973632812
6480,MSSHF-RH-TCC-tp-UW-VW-MSLP-SST,576.8612670898438
4537,MSSHF-SH-t2m-TCC-TCWV-tp-UW-VW-SST,576.9282836914062
913,MER-MSSHF-RH-SH-t2m-TCC-VW-Z500,576.9503784179688
5128,MER-MSSHF-RH-t2m-TCC-tp-UW-VW-MSLP-SST,576.9647216796875
3564,MER-MSSHF-RH-t2m-TCC-TCWV-tp-UW-VW-SST,576.9664916992188
6243,MSSHF-SH-t2m-TCC-tp-UW-VW-MSLP,576.9671630859375
6954,MER-MSSHF-RH-SH-t2m-TCC-VW-MSLP-Z500,577.0548095703125
6075,MER-MSSHF-SH-t2m-TCC-TCWV-tp-UW-VW,577.0609741210938
2544,MER-MSSHF-RH-t2m-TCC-TCWV-UW-MSLP-SST-Z500,577.1798095703125
2977,MER-MSSHF-RH-SH-TCWV-tp-UW-VW-SST,577.7859497070312
6825,MER-RH-SH-t2m-TCC-TCWV-tp-UW-MSLP-Z500,577.9015502929688
3599,MER-MSSHF-RH-TCC-VW-MSLP-SST,577.9163208007812
169,MER-MSSHF-t2m-TCC-tp-UW-VW-MSLP-SST-Z500,578.2250366210938
2351,MER-MSSHF-RH-SH-UW-MSLP-Z500,578.3894653320312
2320,MER-MSSHF-RH-SH-TCWV-tp-UW-MSLP,578.4637451171875
4652,MSSHF-RH-SH-t2m-TCC-TCWV-tp-UW-MSLP-SST,578.5661010742188
2990,MER-SH-t2m-TCC-TCWV-UW-VW-MSLP-SST-Z500,578.7935791015625
1903,MER-MSSHF-RH-SH-t2m-TCC-tp-UW-SST,579.0659790039062
4445,MER-MSSHF-t2m-TCC-TCWV-tp-VW-MSLP-SST,579.4278564453125
4483,MER-SH-t2m-TCC-TCWV-tp-VW-MSLP-SST-Z500,579.5093383789062
