,1,2,3,4,5,6,7,8,9,10,11,12
SH-VW,1131.5815605017694,1256.4246311534707,1224.8620094904547,1152.33435996799,1101.3144165700733,1173.7329908329207,1561.8116635267095,2219.192216392702,2491.835083340814,2644.826222374726,854.1153653210642,2678.0561975727387
t2m-TCC,1518.3576079203094,7185.511961675416,1226.6454071901417,1256.3385816893865,1421.7717410560758,1254.1822024857956,2629.8347625650877,3441.9706074416545,1954.6781648496715,10852.430521510232,772.7009472710884,1875.9843584805162
t2m-TCWV,10519.527965980607,2405.610638146179,1260.233197424828,1207.2826271388183,1431.802388400475,1342.0847277054659,1858.3739830271038,9733.171665522448,2353.3286063993924,2655.026162754022,3992.566278263129,993.4640537213054
t2m-tp,1223.6178230533867,1374.521331414628,1194.8291481742067,1675.39624297559,1140.6801423271363,1500.4276299020767,4952.018687919899,5713.583549440826,4958.182058796395,1413.4859475559072,836.836093374747,1538.769296017026
t2m-UW,1090.4565574218639,1285.8116526968913,1129.3237729952416,1014.8721794473072,1383.988518471985,1187.142777703338,2119.4399147311683,2331.447691736931,1593.3159734503947,17377.92903950332,906.9749259830086,1081.9875500373157
t2m-VW,890.3409776263828,1532.3110583628686,1347.5092339797807,1415.1570860767858,1104.427952205216,1331.523329133527,2569.2218778387737,2136.9367229575837,3334.2465110159287,1648.9331902089793,970.2559267739799,814.8548256397484
TCC-TCWV,1972.333869903716,1629.7341015226,977.5702281034111,1131.3576590847424,1130.0696080855362,1401.0823220459945,2533.3841602839184,2575.029645616986,2886.6114950429373,1635.1457276636986,1007.9791180477554,837.0955122983594
TCC-tp,1030.6254560773395,2128.0884021442043,1267.2257531921052,1163.8954891310782,1359.604579944567,1109.6951591928096,1789.0754949691977,2096.1605728745617,1861.9458030203637,2018.0965245855286,995.0879397773953,2226.0569678775146
TCC-UW,10380.722440064801,1017.5492809073211,1186.1652481109052,1197.5258846039771,1152.772358031444,1139.4882868613263,2342.331754642322,3123.86545783634,1736.542496322068,1281.1423075360012,1101.9016269944857,1467.9447481202938
TCC-VW,1134.5330828123874,1395.1027355707902,1523.337382517492,1149.3527675955172,1542.7884961080729,1443.2596814958545,2850.193008344208,2222.361094004405,2195.570238372654,1787.3421713311186,1284.8336034919737,1300.4804588001764
TCWV-tp,1049.1731609012506,1121.3273854006684,1229.1391267536023,1157.3367842348755,1054.9103263670847,1098.0808457408925,1908.4793109620525,1789.642182229846,2440.9881084228946,1981.9711310084149,922.7254169251182,1120.7367983557076
TCWV-UW,1752.546907266999,1470.6494252468824,1102.064294000684,974.3931875920872,1205.458112783701,1696.6102843326535,1747.5182574464925,1578.6718964366096,1925.9098000275249,1519.0169541196476,1082.181690192845,979.6922041409952
TCWV-VW,1667.8426111426404,1578.9090434439242,1050.399196243664,959.9394764159971,1046.0912782849994,1083.0622390097892,1999.327790788969,2497.3265296165446,1941.9186008294682,1831.3500609236844,1159.9289009261956,1301.1411946900462
tp-UW,965.8101936409188,11826.89422504249,1518.2519955322682,1116.3589263142171,1041.4856818203368,1016.2642047279501,2191.220203510997,1736.4630739463914,1812.5784470584088,1171.1293879192056,950.4972002428667,1796.008683599076
tp-VW,1014.2153946058157,1037.4162543694931,891.3431076292304,1136.863302055775,2128.731107118839,1173.6498000025113,9136.252329853987,1831.2976172044264,2358.7807146854384,1631.9963144094443,1210.2265900315965,1415.4937936086428
UW-VW,875.5937454848972,2824.855484759887,1308.152292293614,1586.2860803469764,1201.9967093658215,1646.6427354257842,1766.5719379705874,2376.680106664371,1786.8421949542335,1571.5915576748282,1345.4527913299348,1282.4815285476486
MER-MSSHF-RH,983.5324166497606,917.3053944259534,938.4772946621401,1141.6585313326193,1078.144882936942,940.5470232380676,2156.011276297364,2086.2729167887424,2106.8965130903694,1825.8535816010105,877.3049714964492,1411.7301412891234
MER-MSSHF-SD,1354.7889061820892,1198.7675016586322,1304.0758220271593,1154.1528526430416,1228.7851845073255,12489.260790312643,2172.145338251285,1711.0980626901978,1879.1210494010036,2431.4068302282258,6669.658172881564,1136.5968858122133
MER-MSSHF-SH,964.3069354979862,977.0183890849423,1008.313878096137,985.3855185824608,1180.3501621265223,1173.4915869271417,1909.9743082164232,2426.0113940191795,1861.458085481278,1520.038630176141,907.890177279468,988.6910339135657
MER-MSSHF-t2m,941.1721792700148,2597.960376579487,1104.8723575701015,1120.7763414034825,1111.539979671899,1288.0563449235638,2321.1849329555357,2725.646722766888,1791.0460055075814,2243.5742157121927,735.3403424030612,953.9454203971317
MER-MSSHF-TCC,1272.121234813399,910.3430204787209,1256.5573936717817,1051.9431093956757,1140.8764532084442,1303.3933750740744,1706.3924578996528,2168.581841244686,1911.0642415384948,1974.1104134758102,916.6187344513909,1444.0223203449655
MER-MSSHF-TCWV,1392.4075642317623,1131.417908965248,1064.1831856548904,1114.8232387452942,1021.3483417248165,1391.5854280070423,1857.9816250825222,2533.317177378925,2016.503338649625,1967.3518938234072,864.8969275397011,931.4662459192855
MER-MSSHF-tp,1010.0533892605303,968.1998436116725,1258.089616246682,1032.7227887939796,1353.9490053661434,1109.8426436709074,2189.8102480479492,1897.8221070731843,1696.949704865729,2193.472810992583,867.0408937365759,1153.518018585414
