,1,2,3,4,5,6,7,8,9,10,11,12
MER-tp,1091.3026045624358,2839.786252483981,1551.4804945730498,1458.3545530016318,1046.4098687945304,1471.6132972856478,2670.413446893905,1824.2883426333635,2695.455436579681,1835.849125117217,4042.856641406122,1201.0430206711324
MER-UW,1081.6511558990574,1305.2229884574294,1570.471726081228,1409.9550974924898,1309.9221317186489,1162.6488263149108,2502.79932418647,2452.8535774186844,2132.9577035316383,2014.6619633983712,1013.400434608092,1572.0309335458553
MER-VW,2580.5136947532,1207.3954149328213,1355.7276521642416,1299.125577513682,1250.945428881864,1407.9803363338601,2468.653525268865,275890.60605855315,3957.2222196174484,3230.2054506271006,1259.754669068388,1748.0204136890784
MSSHF-RH,1234.9897628719054,8189.7823439314825,3157.2854903693633,1774.4188226871702,1146.9156282989131,8322.853372643483,54665.270982474976,6806.40488482866,2405.5741183737982,2647.8436872273837,989.1485372378962,1340.0380317929357
MSSHF-SD,3255.658201039725,1521.0922592852387,21772.85056102607,1378.9649201492298,2028.904704321286,16718.81286849522,1601.992604202446,1693.6982688786313,1400.2517233487304,1433.0621795323268,8988.518393983091,1226.739431013094
MSSHF-SH,1099.8348225930283,957.42662642141,1263.1620297614343,1073.3565242946156,1133.7724690287935,2237.5458561985442,2656.5441416941294,2338.9428835958934,2023.5727624895717,2246.216391521821,1653.19036459033,1672.5005147762893
MSSHF-t2m,1672.9538911913517,1464.7119856328638,1288.481611199585,1807.3818251873506,1286.281654227919,2148.288847700909,2267.517162039533,3463.7146589537274,3034.8549716933644,7530.654412506129,1400.795317705627,1196.5575899145333
MSSHF-TCC,1976.0522154084517,1001.6550160724794,1540.3901840703352,1609.6985740831192,967.5790034436372,1254.573462664382,1946.8619379181355,3431.391236737197,2261.6857552282845,1737.7753992304583,2520.1234123668546,1204.3522208006798
MSSHF-TCWV,2125.4501241930434,3119.2101340762906,1325.831836018705,943.5718229855635,1892.9096053156845,7198.408291015353,2116.024659753934,2378.029700585152,3166.8816340368567,1995.7538312589709,1336.6102880892852,1359.932904104088
MSSHF-tp,3072.873569089507,2217.7985059405755,1784.7857857185347,1332.828645354101,2881.7664949224954,1387.3482908715293,15783.435592394972,1532.159089664542,2762.528424034299,5840.579649809046,746.8461571031556,1321.6667972540786
MSSHF-UW,1732.1824437827065,1095.1298669898624,911.6367668819671,1701.2296826198924,1527.824080088672,1212.8720103191724,2374.265676657228,2670.829222105658,2078.3852144690254,2279.123571540849,1477.0852147230516,935.6195086705811
